"Cursos","Total Repitencias"
"ESTRUCTURA DE DATOS II","1"
"ESTRUCTURA DEL ESTADO PERUANO","6"
"ESTRUCTURA ELECTRONICA DE SOLIDOS","1"
"ESTRUCTURA SOCIAL","6"
"ESTRUCTURAS ALGEBRAICAS I","20"
"ESTRUCTURAS ALGEBRAICAS II","3"
"ESTUDIO DE ECONOMÍAS EMERGENTES","1"
"ESTUDIO DE LA METALURGIA ARQUEOLÓGICA ANDINA","1"
"ESTUDIO DE MATERIALES APLICADOS A LA RESTAURACIÓN","1"
"ESTUDIO DEL TRABAJO","16"
"ESTUDIO DEL TRABAJO B","2"
"ESTUDIO Y MEDICION DEL  TRABAJO","3"
"ESTUDIOS ASIA ORIENTAL Y MEDIO ORIENTE","2"
"ESTUDIOS CULTURALES","4"
"ESTUDIOS DE CASOS EN INVEST. DE OPERACIONES Y SISTEMAS","1"
"ETICA","22"
"ÉTICA DE LA PROFESIÓN","1"
"ÉTICA EN LA COMUNICACIÓN ORGANIZACIONAL","1"
"ÉTICA MÉDICA","4"
"ÉTICA PROFESIONAL","12"
"ÉTICA PROFESIONAL Y LEGISLACIÓN INFORMÁTICA","2"
"ETICA PÚBLICA E INTEGRIDAD INSTITUCIONAL","23"
"ÉTICA PUBLICA E INTEGRIDAD INSTITUCIONAL","22"
"ÉTICA PÚBLICA E INTEGRIDAD INSTITUCIONAL","3"
"ETICA Y DEONTOLOGIA","7"
"ÉTICA Y DEONTOLOGIA EN LAS COMUNICACIONES","4"
"ETICA Y DEONTOLOGIA FARMACEUTICA","1"
"ÉTICA Y DEONTOLOGÍA PROFESIONAL","6"
"ETICA Y DERECHO INFORMÁTICO","1"
"ÉTICA Y LIDERAZGO","1"
"ÉTICA Y TRABAJO SOCIAL","1"
"ÉTICA, CIUDADANÍA Y DIVERSIDAD CULTURAL","166"
"ÉTICA, LEGISLACIÓN Y DEONTOLOGÍA PROFESIONAL","4"
"ETNOBOTÁNICA","2"
"ETNOGRAFIA ANDINA","3"
"ETNOGRAFÍA COMPARADA DEL CAPITALISMO CONTEMPORÁNEO","6"
"ETNOGRAFÍA COMPARADA I","2"
"ETNOGRAFÍA COMPARADA II","6"
"ETNOHISTORIA ANDINA","7"
"ETNOMUSICOLOGÍA","4"
"EVALUACIÓN AMBIENTAL","1"
"EVALUACION DE IMPACTO AMBIENTAL","4"
"EVALUACIÓN DE IMPACTO AMBIENTAL","4"
"EVALUACIÓN DE PRÁCTICAS PRE PROFESIONALES","1"
"EVALUACIÓN DE PROGRAMAS Y PROYECTOS","6"
"EVALUACIÓN DE PROYECTOS","1"
"EVALUACIÓN DE RECURSOS NATURALES","7"
"EVALUACIÓN DE UNIDADES DE INFORMACIÓN","2"
"EVALUACIÓN DEL IMPACTO AMBIENTAL","1"
"EVALUACIÓN EDUCACIONAL","10"
"EVALUACIÓN EDUCACIONAL Y EN EDUCACIÓN FÍSICA","14"
"EVALUACION INSTITUCIONAL","10"
"EVALUACIÓN SENSORIAL","6"
"EVALUACION SOCIAL DE PROYECTOS","1"
"EVALUACIÓN Y ANÁLISIS DEL CONSUMO DE ALIMENTOS","3"
"EVALUACIÓN Y GESTIÓN DEL RIESGO DE DESASTRES","4"
"EVALUACIONES ARQUEOLÓGICAS","1"
"EVOLUCIÓN","2"
"EVOLUCIÓN HUMANA","1"
"EVOLUCIÓN Y SISTEMÁTICA","2"
"EXTERNADO","1"
"FAMILIA Y SOCIEDAD","4"
"FARMACIA HOSPITALARIA","1"
"FARMACOCINETICA CLINICA","1"
"FARMACOGNOSIA","1"
"FARMACOGNOSIA I","1"
"FARMACOLOGIA","1"
"FARMACOLOGÍA","6"
"FARMACOLOGÍA APLICADA A LA NUTRICIÓN","3"
"FARMACOLOGÍA GENERAL Y ESPECIALIZADA EN OBSTETRICIA","3"
"FARMACOLOGIA I","16"
"FARMACOLOGÍA I","15"
"FARMACOLOGIA II","1"
"FARMACOLOGÍA II","2"
"FARMACOLOGÍA VETERINARIA","1"
"FARMACOTECNIA II","6"
"FENOMENOS DE TRANSPORTE","2"
"FENÓMENOS DE TRANSPORTE","21"
"FIBROLOGÍA","14"
"FICOLOGÍA","1"
"FILOSOFÍA","19"
"FILOSOFÍA ANTIGUA GRIEGA","10"
"FILOSOFIA DE LA EDUCACION","4"
"FILOSOFÍA DE LA EDUCACIÓN","11"
"FILOSOFÍA DE LA HISTORIA","1"
"FILOSOFÍA DE LA HISTORIA I","1"
"FILOSOFÍA DE LA INDIA Y CHINA","20"
"FILOSOFÍA DE LA MEDICINA","1"
"FILOSOFÍA DE LA MENTE","6"
"FILOSOFIA DE LA PSICOLOGIA","6"
"FILOSOFÍA DEL DERECHO","9"
"FILOSOFIA DEL LENGUAJE","3"
"FILOSOFÍA DEL SIGLO XX","2"
"FILOSOFIA E HISTORIA DE LA CIENCIA","2"
"FILOSOFÍA EN EL PERÚ SIGLOS XVI-XVIII","1"
"FILOSOFÍA LATINOAMERICANA","13"
"FILOSOFÍA LATINOAMERICANA RECIENTE","4"
"FILOSOFÍA LATINOAMERICANA SIGLOS XVI-XVIII","1"
"FILOSOFÍA LATINOAMERICANA Y PERUANA","2"
"FILOSOFÍA MEDIEVAL","14"
"FILOSOFÍA MODERNA","4"
"FILOSOFÍA PERUANA","4"
"FILOSOFIA POLITICA","3"
"FILOSOFÍA POLÍTICA","20"
"FILOSOFÍA Y ÉTICA","44"
"FILOSOFIA Y LÓGICA","1"
"FINANZAS","2"
"FINANZAS CORPORATIVAS","58"
"FINANZAS CORPORATIVAS I","18"
"FINANZAS CORPORATIVAS II","8"
"FINANZAS E INGENIERÍA ECONÓMICA","26"
"FINANZAS EN EMPRESAS TURÍSTICAS","6"
"FINANZAS INTERNACIONALES","4"
"FINANZAS PARA ABOGADOS","1"
"FINANZAS PARA LA GESTIÓN","7"
"FINANZAS PUBLICAS","7"
"FINANZAS PÚBLICAS","3"
"FISCALIZACIÓN Y PROCEDIMIENTOS TRIBUTARIOS","1"
"FISICA APLICADA","1"
"FÍSICA APLICADA A LA CONSERVACIÓN Y RESTAURACIÓN","3"
"FÍSICA APLICADA A LA GEOGRAFÍA","6"
"FÍSICA COMPUTACIONAL I","15"
"FÍSICA COMPUTACIONAL II","10"
"FÍSICA CONTEMPORÁNEA I","1"
"FÍSICA CONTEMPORÁNEA II","1"
"FISICA DE ALTAS ENERGIAS","1"
"FÍSICA DE ALTAS ENERGÍAS","1"
"FÍSICA DE LAS RADIACIONES Y BIOFÍSICA","4"
"FISICA DE MACROMOLÉCULAS","1"
"FISICA DE REACTORES NUCLEARES","1"
"FISICA DEL ESTADO SOLIDO I","10"
"FÍSICA DEL ESTADO SÓLIDO I","3"
"FISICA DEL ESTADO SOLIDO II","1"
"FÍSICA DEL ESTADO SÓLIDO Y ÓPTICA","12"
"FISICA ELÉCTRONICA","11"
"FÍSICA ELECTRÓNICA I","8"
"FÍSICA ELECTRÓNICA II","2"
"FISICA ELECTRONICA Y SISTEMAS DIGITALES","4"
"FISICA ESTADISTICA","1"
"FISICA EXPERIMENTAL","2"
"FÍSICA EXPERIMENTAL I","11"
"FISICA GENERAL","1"
"FÍSICA GENERAL","128"
"FISICA GENERAL I","2"
"FÍSICA GENERAL I","81"
"FISICA GENERAL II","32"
"FISICA I","1"
"FÍSICA I","263"
"FISICA II","64"
"FÍSICA II","18"
"FISICA III","1"
"FÍSICA INTEGRADA","2"
"FISICA IV","4"
"FÍSICA IV","2"
"FÍSICA MATEMÁTICA I","3"
"FÍSICA MATEMÁTICA II","24"
"FÍSICA MATEMÁTICA III","7"
"FISICA MEDICA","2"
"FÍSICA MEDICA","3"
"FÍSICA MODERNA","5"
"FÍSICA MODERNA I","5"
"FÍSICA MODERNA II","3"
"FÍSICA MOLECULAR","25"
"FISICA NUCLEAR I","3"
"FÍSICA NUCLEAR I","1"
"FISICA NUCLEAR II","2"
"FISICA SOLAR TERRESTRE","2"
"FÍSICA Y TÉCNICAS DE TELEDETECCION","1"
"FÍSICO QUÍMICA","12"
"FISICO QUIMICA I","6"
"FISICO QUIMICA II","5"
"FISICO-QUIMICA","2"
"FISICOQUÍMICA","19"
"FISICOQUIMICA AII","1"
"FISICOQUÍMICA DE LOS POLÍMEROS","1"
"FISICOQUÍMICA GENERAL","17"
"FISICOQUÍMICA I","10"
"FISICOQUIMICA II","1"
"FISICOQUÍMICA II","16"
"FISICO-QUIMICA METALURGICA","1"
"FISIOLOGIA","9"
"FISIOLOGÍA","4"
"FISIOLOGÍA ANIMAL","2"
"FISIOLOGÍA ANIMAL I","4"
"FISIOLOGÍA ANIMAL II","1"
"FISIOLOGÍA DE LA REPRODUCCIÓN ANIMAL","1"
"FISIOLOGÍA DEL ESFUERZO FÍSICO","2"
"FISIOLOGIA GENERAL","2"
"FISIOLOGÍA GENERAL Y ESPECIALIZADA EN OBSTETRICIA","4"
"FISIOLOGIA HUMANA","7"
"FISIOLOGÍA HUMANA","17"
"FISIOLOGÍA HUMANA Y DEL ESFUERZO","20"
"FISIOLOGÍA MICROBIANA","1"
"FISIOLOGÍA VEGETAL","2"
"FISIOPATOLOGIA","20"
"FISIOPATOLOGÍA","21"
"FISIOPATOLOGÍA APLICADA A LA NUTRICIÓN","2"
"FISIOPATOLOGIA DE LA OCLUSION","3"
"FISIOPATOLOGIA OBSTETRICA","1"
"FISIOTERAPIA COMUNITARIA","1"
"FISIOTERAPIA EN AFECCIONES MÚSCULO-ESQUELÉTICAS I","1"
"FISIOTERAPIA EN GERIATRIA","1"
"FISIOTERAPIA EN NEUROLOGÍA","1"
"FISIOTERAPIA EN NEUROLOGIA Y NEUROCIRUGIA","7"
"FITOGEOGRAFÍA","2"
"FLORA Y VEGETACIÓN DE LA AMAZONÍA","1"
"FLUIDOS, CALOR Y SONIDO","10"
"FLUIDOS,ONDAS Y CALOR","6"
"FLUJO COMPRESIBLE","12"
"FLUJO LAMINAR","11"
"FLUJO NO PERMANENTE","6"
"FLUJO POTENCIAL","21"
"FLUJO VISCOSO","1"
"FOLKLORE","1"
"FOLKLORE I","1"
"FOLKLORE II","1"
"FONÉTICA","7"
"FONÉTICA Y FONOLOGÍA DEL CASTELLANO","1"
"FONÉTICA Y FONOLOGIA ESPAÑOLA","1"
"FONÉTICA Y FONOLOGÍA ESPAÑOLA","2"
"FONOLOGÍA I","2"
"FONOLOGÍA II","2"
"FORMACIÓN DE EMPRESAS INFORMÁTICAS","2"
"FORMACIÓN PEDAGÓGICA EN CIENCIAS DE LA INFORMACIÓN","1"
"FORMACIÓN PERSONAL HUMANÍSTICA","21"
"FORMACIÓN Y ANÁLISIS DE POLÍTICAS PÚBLICAS","3"
"FORMACIÓN Y GESTIÓN DE MYPES","2"
"FORMULACIÓN DE PROYECTOS","2"
"FORMULACIÓN Y ADMINISTRACIÓN DE PROYECTOS DE SALUD Y DESARROLLO AGROPECUARIO","1"
"FORMULACION Y EVALUACION DE PROY. ELECTRICOS","1"
"FORMULACION Y EVALUACION DE PROYECTOS","1"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","13"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN","1"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS PRIVADOS","2"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS PRIVADOS I","6"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS PRIVADOS II","2"
"FORMULACIÓN Y EVALUACIÓN DE PROYECTOS SOCIALES","19"
"FORMULACIÓN Y GESTIÓN DE PROYECTOS","9"
"FORMULACIÓN, EJECUCIÓN Y GESTIÓN DE PROYECTOS","2"
"FOTOGRAFIA AVANZADA","11"
"FOTOGRAFIA BASICA","3"
"FOTOGRAMETRIA Y FOTOINTERPRETACION","1"
"FOTOINTERPRETACIÓN","1"
"FRANCES I","15"
"FRANCÉS I","7"
"FRANCÉS II","4"
"FUENTES HISTÓRICAS DEL PERÚ COLONIAL","2"
"FUNCIONES ANALITICAS","8"
"FUNDAMENTO EN FINANZAS","3"
"FUNDAMENTOS DE ADMINISTRACION","2"
"FUNDAMENTOS DE ADMINISTRACIÓN","1"
"FUNDAMENTOS DE CONTABILIDAD","42"
"FUNDAMENTOS DE EDUCACIÓN INTERCULTURAL BILINGÜE","3"
"FUNDAMENTOS DE ESTADÍSTICA","13"
"FUNDAMENTOS DE FINANZAS","52"
"FUNDAMENTOS DE INVESTIGACIÓN CIENTÍFICA","70"
"FUNDAMENTOS DE LA ADMINISTRACIÓN","9"
"FUNDAMENTOS DE LA CONTABILIDAD","44"
"FUNDAMENTOS DE LA ECONOMÍA","6"
"FUNDAMENTOS DE LA INGENIERÍA AMBIENTAL","1"
"FUNDAMENTOS DE LA MATEMATICA","2"
"FUNDAMENTOS DE LAS COMUNICACIONES","8"
"FUNDAMENTOS DE MARKETING","4"
"FUNDAMENTOS DE MECÁNICA DE ROCAS","2"
"FUNDAMENTOS DE MICROBIOLOGÍA","6"
"FUNDAMENTOS DE RIESGOS DE DESASTRES Y CAMBIO CLIMÁTICO","133"
"FUNDAMENTOS DE TRABAJO SOCIAL","1"
"FUNDAMENTOS DE VALORACIÓN DE EMPRESAS","1"
"FUNDAMENTOS DEL PROCESO ALEATORIO","2"
"FUNDAMENTOS DEL TALENTO HUMANO","4"
"FUNDAMENTOS EN ENFERMERÍA","1"
"FUNDAMENTOS PARA EL ESTUDIO DEL ARTE","5"
"FUNDAMENTOS Y ESTILOS DE ESCRITURA ETNOGRÁFICA","14"
"FUNDICIÓN Y MOLDEO","5"
"FUSIONES Y ADQUISICIONES DE EMPRESAS","4"
"FUTBOL I","1"
"FUTBOL II","3"
"FÚTBOL Y SU DIDÁCTICA","8"
"GASTRONOMIA INTERNACIONAL","1"
"GASTRONOMÍA INTERNACIONAL","1"
"GASTRONOMÍA PERUANA","4"
"GASTRONOMÍA SALUDABLE","1"
"GÉNERO SEXUALIDAD Y PODER","7"
"GÉNERO Y DERECHO","14"
"GENERO Y SOCIEDAD","79"
"GENÉTICA ANIMAL","12"
"GENÉTICA DE POBLACIONES","1"
"GENETICA GENERAL","18"
"GENÉTICA GENERAL","21"
"GENÉTICA HUMANA","3"
"GENÉTICA MICROBIANA","10"
"GENÉTICA MOLECULAR","1"
"GENÉTICA VEGETAL","1"
"GENOMICA FUNCIONAL","5"
"GENÓMICA FUNCIONAL","3"
"GEOESTADISTICA","18"
"GEOESTADÍSTICA","9"
"GEOFISICA","1"
"GEOFÍSICA GENERAL","1"
"GEOGRAFÍA CULTURAL","2"
"GEOGRAFÍA DE LA POBLACIÓN","2"
"GEOGRAFÍA DE LAS ÁREAS DE MONTAÑA","1"
"GEOGRAFÍA DE LAS ZONAS ÁRIDAS","4"
"GEOGRAFÍA DEL PAISAJE","14"
"GEOGRAFÍA DEL TRANSPORTE","1"
"GEOGRAFÍA DEL TRÓPICO HÚMEDO","1"
"GEOGRAFÍA DEL TURISMO","8"
"GEOGRAFÍA DEL TURISMO I","1"
"GEOGRAFÍA DEL TURISMO II","2"
"GEOGRAFÍA ECONÓMICA","9"
"GEOGRAFIA ECONÓMICA DEL PERÚ","3"
"GEOGRAFIA ECONOMICA Y RECURSOS NATURALES","2"
"GEOGRAFÍA FÍSICA","3"
"GEOGRAFÍA FÍSICA GENERAL Y DEL PERU","4"
"GEOGRAFÍA HISTÓRICA","1"
"GEOGRAFÍA HUMANA","10"
"GEOGRAFÍA HUMANA DEL PERÚ","1"
"GEOGRAFÍA HUMANA GENERAL","1"
"GEOGRAFÍA POLÍTICA","2"
"GEOGRAFÍA POLITICA GENERAL Y DEL PERÚ","4"
"GEOGRAFÍA RURAL","2"
"GEOGRAFÍA SOCIAL","2"
"GEOGRAFÍA URBANA","4"
"GEOGRAFÍA Y ECOLOGÍA","5"
"GEOGRAFÍA Y MEDIO AMBIENTE","151"
"GEOLOGIA","1"
"GEOLOGÍA","25"
"GEOLOGIA AMBIENTAL","2"
"GEOLOGIA DE CAMPO I","14"
"GEOLOGIA DE CAMPO II","11"
"GEOLOGÍA DE HIDROCARBUROS","10"
"GEOLOGÍA DE LOS HIDROCARBUROS","1"
"GEOLOGÍA DE MINAS","4"
"GEOLOGÍA DEL CUATERNARIO Y EVOLUCIÓN HUMANA","13"
"GEOLOGIA DEL PERU","1"
"GEOLOGÍA ESTRUCTURAL","2"
"GEOLOGÍA GENERAL","14"
"GEOMETALURGIA","19"
"GEOMETRÍA","6"
"GEOMETRÍA DESCRIPTIVA","121"
"GEOMETRÍA DIFERENCIAL","1"
"GEOMETRÍA NO EUCLIDIANA","3"
"GEOMORFOLOGIA","2"
"GEOMORFOLOGÍA","5"
"GEOMORFOLOGÍA APLICADA","4"
"GEOMORFOLOGÍA DEL PERÚ","2"
"GEOPOLITICA","13"
"GEOPOLÍTICA","2"
"GEOPOLÍTICA GENERAL Y DEL PERÚ","1"
"GEOTECNIA","1"
"GERENCIA DE BANCA Y EMPRESAS DE SEGUROS","1"
"GERENCIA DE FINANZAS","7"
"GERENCIA DE LA INFORMACIÓN","1"
"GERENCIA DE OPERACIONES","15"
"GERENCIA DE PROYECTO DE SOFTWARE","2"
"GERENCIA DE PROYECTOS DE INFORMACIÓN","3"
"GERENCIA DE RECURSOS HUMANOS","1"
"GERENCIA DE SERVICIOS EN SALUD Y GESTIÓN PUBLICA","1"
"GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN","2"
"GERENCIA DE VENTAS","2"
"GERENCIA ESTRATEGICA EN EL SECTOR PÚBLICO","2"
"GERENCIA FINANCIERA","7"
"GERENCIA GENERAL Y ALTA DIRECCIÓN","18"
"GERENCIA INFORMÁTICA","2"
"GERENCIA LEGAL Y DIRECCIÓN DE NEGOCIOS PARA ABOGADOS","2"
"GESTIÓN  DE PORTAFOLIOS DE RENTA FIJA","1"
"GESTIÓN  DEL CAPITAL DE TRABAJO Y TESORERÍA","3"
"GESTIÓN  Y CONTROL FINANCIERO","14"
"GESTIÓN ADUANERA","3"
"GESTION AMBIENTAL","6"
"GESTION AMBIENTAL EN MINERIA","4"
"GESTIÓN AMBIENTAL I","4"
"GESTIÓN CULTURAL I","5"
"GESTIÓN DE BIENES CULTURALES","3"
"GESTIÓN DE COLECCIONES","2"
"GESTIÓN DE EMPRESAS E INTERMEDIACIÓN TURÍSTICA","3"
"GESTIÓN DE ESTANDARES INTERNACIONALES","1"
"GESTIÓN DE INVERSIÓN GLOBAL","1"
"GESTIÓN DE LA CADENA DE SUMINISTRO","1"
"GESTIÓN DE LA CALIDAD","1"
"GESTION DE LA CALIDAD METALURGICA","3"
"GESTIÓN DE LA CALIDAD TOTAL","1"
"GESTIÓN DE LA CALIDAD TURÍSTICA","1"
"GESTIÓN DE LA DISTRIBUCIÓN","3"
"GESTIÓN DE LA EDUCACIÓN","1"
"GESTION DE LA SEGURIDAD INTEGRAL","3"
"GESTIÓN DE LA SEGURIDAD INTEGRAL","1"
"GESTIÓN DE LAS POLÍTICAS PÚBLICAS","1"
"GESTIÓN DE LOS PROCESOS DE NEGOCIOS","4"
"GESTION DE MANTENIMIENTO DE EQUIPOS","2"
"GESTIÓN DE PLATAFORMAS DIGITALES","2"
"GESTIÓN DE POLÍTICAS PÚBLICAS","3"
"GESTIÓN DE PORTAFOLIOS","8"
"GESTION DE PROYECTOS","7"
"GESTIÓN DE PROYECTOS","4"
"GESTION DE PROYECTOS EN SALUD","1"
"GESTION DE PROYECTOS INFORMATICOS","2"
"GESTIÓN DE PROYECTOS PÚBLICOS - PRIVADOS","1"
"GESTION DE PROYECTOS SEGÚN EL PMBOK","3"
"GESTIÓN DE PYMES","3"
"GESTIÓN DE RESTAURANTES","1"
"GESTION DE RIESGOS DE DESASTRES","3"
"GESTIÓN DE RIESGOS LABORALES","14"
"GESTION DE SEGURIDAD Y RIESGO DE  TECNOLOGIA DE INFORMACIÓN","2"
"GESTIÓN DE SISTEMAS ORGANIZACIONALES","2"
"GESTIÓN DEL ALOJAMIENTO","9"
"GESTIÓN DEL CONOCIMIENTO","3"
"GESTIÓN DEL CONOCIMIENTO I","3"
"GESTION DEL MEDIO AMBIENTE","1"
"GESTIÓN DEL PATRIMONIO ARQUEOLÓGICO","2"
"GESTION DEL TALENTO HUMANO","7"
"GESTIÓN DEL TALENTO HUMANO","24"
"GESTIÓN DEL TALENTO HUMANO II","1"
"GESTIÓN DEL TALENTO HUMANO INTERNACIONAL","1"
"GESTIÓN EMPRESARIAL","6"
"GESTIÓN EN LA EDUCACIÓN FÍSICA Y EL DEPORTE","9"
"GESTIÓN EN SALUD","1"
"GESTIÓN EN SERVICIOS DE ALIMENTACIÓN Y NUTRICIÓN","1"
"GESTIÓN ESTADÍSTICA","1"
"GESTIÓN MUNICIPAL","1"
"GESTIÓN PERSONAL","65"
"GESTIÓN POR COMPETENCIAS","1"
"GESTION PUBLICA","7"
"GESTIÓN PÚBLICA","3"
"GESTIÓN PÚBLICA DE PERSONAL","1"
"GESTIÓN SOCIAL","5"
"GESTIÓN TURÍSTICA DEL TERRITORIO","1"
"GESTION URBANA Y DEL TERRITORIO","2"
"GESTIÓN Y ASEGURAMIENTO DE LA CALIDAD EN LABORATORIO CLÍNICO","3"
"GESTION Y CONTROL ESTRATEGICO","27"
"GESTION Y CONTROL FINANCIERO","36"
"GESTIÓN Y GERENCIA DE CENTROS DE EDUCACIÓN INICIAL","1"
"GESTIÓN Y GERENCIA EN ODONTOLOGÍA","3"
"GESTION Y LIDERAZGO EN LA EDUCACION","9"
"GESTIÓN Y MANTENIMIENTO DE EQUIPO MINERO","9"
"GESTION Y RESOLUCION DE CONFLICTOS","2"
"GIMNASIA DEPORTIVA I","1"
"GIMNASIA DEPORTIVA II","1"
"GIMNASIA DEPORTIVA Y SU DIDÁCTICA","21"
"GIMNASIA EDUCATIVA Y SU DIDÁCTICA","7"
"GIMNOSPERMAS","2"
"GINECOLOGIA","1"
"GINECOLOGÍA BÁSICA","1"
"GLOBALIZACIÓN Y REALIDAD NACIONAL","2"
"GLOBALIZACIÓN, ETNICIDAD Y NACIÓN","6"
"GOBERNANZA Y CONFLICTOS TERRITORIALES","2"
"GOBIERNOS REGIONALES Y LOCALES","8"
"GRAMATICA CASTELLANA I","1"
"GRAMATICA CASTELLANA II","1"
"GRAMATICA DE UNA LENGUA AMAZONICA I","10"
"GRAMATICA DE UNA LENGUA ANDINA I","4"
"GRAMÁTICA HISTÓRICA DEL ESPAÑOL","1"
"GRAMÁTICA NORMATIVA Y REDACCIÓN","1"
"GRIEGO I","18"
"GRIEGO II","7"
"GRIEGO III","1"
"GRUPOS DE PRESION Y OPINIÓN PÚBLICA","5"
"GRUPOS ÉTNICOS EN EL PERÚ","2"
"HABILIDADES AUDIORALES","1"
"HABILIDADES COMUNICACIONALES","1"
"HABILIDADES DE LECTO ESCRITURA","1"
"HABILIDADES DE LECTOESCRITURA","1"
"HEMATOLOGÍA","2"
"HEMATOLOGIA I","1"
"HEMATOLOGIA II","1"
"HEMOTERAPIA Y BANCO DE SANGRE","6"
"HERRAMIENTAS DE BUSQUEDA","1"
"HERRAMIENTAS DE GESTIÓN EN UNIDADES DE INFORMACIÓN","2"
"HERRAMIENTAS DE LA GESTIÓN HUMANA","1"
"HERRAMIENTAS DEL MÉTODO CIENTÍFICO","7"
"HERRAMIENTAS PARA EL DESARROLLO DE PROYECTOS","3"
"HERRAMIENTAS PARA LA TOMA DE DECISIONES EN ADMINISTRACIÓN","1"
"HEURÍSTICAS Y METAHEURÍSTICAS","2"
"HIDRAULICA","2"
"HIDRAULICA MARITIMA Y DE ESTUARIOS","1"
"HIDRAULICA Y NEUMATICA INDUSTRIAL","2"
"HIDROBIOLOGÍA","4"
"HIDROBIOLOGÍA GENERAL","2"
"HIDROGEOLOGIA","2"
"HIDROGRAFÍA","1"
"HIDROLOGIA","6"
"HIDROLOGÍA","9"
"HIDROLOGIA ESTADISTICA","1"
"HIDROMETALURGIA","1"
"HIDROMETALÚRGIA","1"
"HIDROMETALÚRGIA DE LOS METALES PRECIOSOS","1"
"HIGIENE, SEGURIDAD Y GESTION AMBIENTAL","2"
"HISTOLOGÍA","23"
"HISTOLOGÍA Y EMBRIOLOGÍA ANIMAL","3"
"HISTOQUÍMICA E INMUNOHISTOQUÍMICA","1"
"HISTORIA AMAZÓNICA","2"
"HISTORIA ANTIGUA","9"
"HISTORIA ANTIGUA GENERAL Y DEL PERÚ {HASTA S.V D. C]","4"
"HISTORIA COMPARADA DEL ARTE","1"
"HISTORIA CONTEMPORÁNEA DEL PERÚ Y EL MUNDO I (SIGLO XX HASTA 1980)","1"
"HISTORIA CONTEMPORÁNEA DEL PERÚ Y EL MUNDO II (DE 1980 HASTA HOY)","2"
"HISTORIA CRITICA DEL PERU Y DEL MUNDO I","4"
"HISTORIA CULTURAL","1"
"HISTORIA DE AMÉRICA COLONIAL","1"
"HISTORIA DE AMÉRICA CONTEMPORÁNEA","3"
"HISTORIA DE LA ANTROPOLOGÍA SOCIAL APLICADA","1"
"HISTORIA DE LA CIENCIA","5"
"HISTORIA DE LA CIENCIA Y LA TECNOLOGÍA","2"
"HISTORIA DE LA COMUNICACIÓN","1"
"HISTORIA DE LA CRÍTICA DE ARTE","2"
"HISTORIA DE LA CRITICA LITERARIA PERUANA","2"
"HISTORIA DE LA CULTURA","2"
"HISTORIA DE LA DANZA","1"
"HISTORIA DE LA DANZA I","2"
"HISTORIA DE LA EDUCACIÓN","4"
"HISTORÍA DE LA EDUCACIÓN Y DE LA EDUCACIÓN FÍSICA","5"
"HISTORIA DE LA FARMACIA","1"
"HISTORIA DE LA FILOSOFIA DEL SIGLO XX","1"
"HISTORIA DE LA FÍSICA","2"
"HISTORIA DE LA MATEMÁTICA","3"
"HISTORIA DE LA MUSICA I","5"
"HISTORIA DE LA MÚSICA I","3"
"HISTORIA DE LA MUSICA II","1"
"HISTORIA DE LA MÚSICA PERUANA Y LATINOAMERICANA","1"
"HISTORIA DE LA PSICOLOGIA","2"
"HISTORIA DE LA SALUD","3"
"HISTORIA DE LA UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","1"
"HISTORIA DE LAS CORRIENTES PEDAGÓGICAS","4"
"HISTORIA DE LAS CULTURAS PERUANAS","2"
"HISTORIA DE LAS IDEAS EN EL PERÚ CONTEMPORÁNEO","1"
"HISTORIA DE LAS IDEAS POLITICAS","1"
"HISTORIA DE LAS IDEAS POLITICAS II","5"
"HISTORIA DE LAS RELIGIONES DEL MUNDO CONTEMPORÁNEO","1"
"HISTORIA DEL ARTE","2"
"HISTORIA DEL ARTE CINEMATOGRAFICO","1"
"HISTORIA DEL ARTE I","1"
"HISTORIA DEL ARTE II","3"
"HISTORIA DEL ARTE UNIVERSAL","1"
"HISTORIA DEL PENSAMIENTO PEDAGÓGICO PERUANO Y LATINOAMERICANO","1"
"HISTORIA DEL PENSAMIENTO POLÍTICO I DE LA ANTIGÜEDAD","19"
"HISTORIA DEL PENSAMIENTO POLÍTICO MEDIEVAL","4"
"HISTORIA DEL PERÚ COLONIAL","3"
"HISTORIA DEL PERÚ CONTEMPORÁNEO","3"
"HISTORIA DEL PERU EN EL CONTEXTO MUNDIAL CONTEMPORÁNEO","10"
"HISTORIA DEL PERÚ EN EL CONTEXTO MUNDIAL CONTEMPORÁNEO","64"
"HISTORIA DEL PERÚ, CONQUISTA Y COLONIA","1"
"HISTORIA DEL PERÚ. INDEPENDENCIA","3"
"HISTORIA DEL PERÚ. SIGLO XIX","3"
"HISTORIA DEL TEATRO","1"
"HISTORIA ECONÓMICA","5"
"HISTORIA ECONÓMICA DEL PERÚ","4"
"HISTORIA ECONÓMICA DEL PERÚ  Y DEL MUNDO","4"
"HISTORIA ECONÓMICA DEL PERÚ Y DEL MUNDO","17"
"HISTORIA ECONÓMICA MUNDIAL","2"
